icao24;registration;manufacturericao;manufacturername;model;typecode;serialnumber;linenumber;icaoaircrafttype;operator;operatorcallsign;operatoricao;operatoriata;owner;testreg;registered;reguntil;status;built;firstflightdate;seatconfiguration;engines;modes;adsb;acars;notes;categoryDescription
44f421;CH-01;ROCKWELL;Lockheed;C-130H Hercules;C130;4455;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f423;CH-03;ROCKWELL;Lockheed;C-130H Hercules;C130;4461;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f424;CH-04;ROCKWELL;Lockheed;C-130H Hercules;C130;4467;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f425;CH-05;ROCKWELL;Lockheed;C-130H Hercules;C130;4470;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f427;CH-07;ROCKWELL;Lockheed;C-130H Hercules;C130;4476;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f428;CH-08;ROCKWELL;Lockheed;C-130H Hercules;C130;4478;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f429;CH-09;ROCKWELL;Lockheed;C-130H Hercules;C130;4479;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f42a;CH-10;ROCKWELL;Lockheed;C-130H Hercules;C130;4481;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f42b;CH-11;ROCKWELL;Lockheed;C-130H Hercules;C130;4482;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f42c;CH-12;ROCKWELL;Lockheed;C-130H Hercules;C130;4483;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f42e;CH-13;ROCKWELL;Lockheed;C-130E Hercules;C130;4047;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3ee099;D-0002;;Rolladen-schneider;LS7 WL;GLID;7098;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09a;D-0003;;Let;L-13 Blanik;GLID;026639;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3ee09b;D-0004;;Schleicher;ASW 27;GLID;27090;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09c;D-0005;;Scheibe;Zugvogel IIIA;GLID;1061;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09d;D-0006;;Schleicher;Ka 6 E Rhonsegler;GLID;4132;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09e;D-0007;SCHEMPP-HIRTH;Schempp-hirth;Nimbus 2;NIMB;83;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09f;D-0008;;Scheibe;Leistung-Spatz 55;GLID;622;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a0;D-0009;;Schleicher;ASK 21;GLID;21463;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a1;D-0010;;Rolladen-schneider;LS6 a;GLID;6042;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a2;D-0011;;Schleicher;ASW 19;GLID;19011;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a3;D-0012;;Marganski;MDM-1 Fox;GLID;217;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a4;D-0013;;Schleicher;K 8 B;GLID;AB8759;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a7;D-0016;;Schempp-hirth;Discus CS;GLID;233CS;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3ee0a8;D-0017;;Scheibe;Zugvogel IVA;GLID;1508;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a9;D-0018;;Schempp-hirth;Duo Discus;GLID;86;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee0ab;D-0020;;Glasflugel;H201 Standard Libelle;GLID;11;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ac;D-0021;SCHEMPP-HIRTH;Schempp-hirth;Nimbus 2 C;NIMB;224;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ad;D-0022;;Akaflieg Hannover;AFH 22;GLID;V-1;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ae;D-0023;;Glaser-dirks;DG-100G Elan;GLID;E119-G88;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b0;D-0025;;Schleicher;ASK 13;GLID;13190;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b1;D-0026;;Glasflugel;H303 Mosquito;GLID;99;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b2;D-0027;;Schleicher;ASK 13;GLID;13152;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b3;D-0028;;Glaser-dirks;DG-300 Elan;GLID;3E-268;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b4;D-0029;;Schempp-hirth/grob;Standard Cirrus CS11;GLID;496G;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b5;D-0030;DG FLUGZEUGBAU;Dg Flugzeugbau;DG-1000S;DG1T;10-21S21;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b7;D-0032;;Rolladen-schneider;LS8 18;GLID;8291;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b8;D-0033;;Glaser-dirks;DG-100 Elan;GLID;E33;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ba;D-0035;;Schleicher;K 8 B;GLID;8666;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0bb;D-0036;;Schneider;Grunau Baby (108-49) IIB;GLID;AHAB2;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0bc;D-0037;;Glasflugel;H401 Kestrel;GLID;119;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee0bf;D-0040;;Schleicher;K 8 B;GLID;8850/AB;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c1;D-0042;;Schneider;SG-38 Schulgleiter (108-14);GLID;1;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c2;D-0043;;Glaser-dirks;DG-300 Elan;GLID;3E-138;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c3;D-0044;;Glaser-dirks;DG-100G Elan;GLID;E219-G185;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c4;D-0045;;Rolladen-schneider;LS6 c;GLID;6278;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee0c5;D-0046;;Schleicher;ASW 12;GLID;12005;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c6;D-0047;;Schleicher;K 7 Rhonadler;GLID;269;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3ee0c7;D-0048;;Pzl-bielsko;SZD-51-1 Junior;GLID;B-1851;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c8;D-0049;;Glasflugel;H301 B Libelle;GLID;88;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c9;D-0050;;Rolladen-schneider;LS8 a;GLID;8231;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ca;D-0051;;Schempp-hirth;Discus 2 b;GLID;176;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0cb;D-0052;;Rolladen-schneider;LS4;GLID;4605;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0cd;D-0054;;Scheibe;SF-27 B;GLID;6201;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ce;D-0055;SCHEMPP-HIRTH;Schempp-hirth;Nimbus 2 C;NIMB;227;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0cf;D-0056;;Schleicher;K 8 B;GLID;789;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d0;D-0057;;Rolladen-schneider;LS4 a;GLID;4677;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d1;D-0058;;Schleicher;Ka 6 E Rhonsegler;GLID;4180;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d2;D-0059;;Schleicher;Ka 6 E Rhonsegler;GLID;4213;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d3;D-0060;;Pzl-swidnik;PW-5 Smyk;GLID;17.06.018;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d4;D-0061;;Rolladen-schneider;LS8 18;GLID;8077;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d5;D-0062;;Scheibe;Bergfalke III;GLID;5628;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d6;D-0063;;Lehtovaara;PIK-16 C Vasama;GLID;12;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d7;D-0064;;Akaflieg Braunschweig;SB-5 B Sperber;GLID;5045/A;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
